TASK,TYPE,ITEM_ID,ANNOTATOR_ID,TIME,SYSTEM_0,SCORE_0_A,SCORE_0_B,SYSTEM_1,SCORE_1_A,SCORE_1_B,SYSTEM_2,SCORE_2_A,SCORE_2_B,SYSTEM_3,SCORE_3_A,SCORE_3_B,SYSTEM_4,SCORE_4_A,SCORE_4_B
WMT08 Spanish-English News,CONSTITUENT,2394,93,105,ucb,2,,rbmt4,1,,rbmt6,1,,cued,3,,uedin,3,
WMT08 Spanish-English News,CONSTITUENT,294,93,624,limsi,1,,rbmt3,3,,cued-contrast,2,,cmu-smt,2,,ucb,2,
WMT08 Spanish-English News,CONSTITUENT,1890,93,333,ucb,2,,rbmt3,3,,rbmt5,1,,uedin,1,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,1677,93,90,cued,4,,rbmt5,2,,rbmt3,3,,upc,1,,saar,2,
WMT08 Spanish-English News,CONSTITUENT,3066,8,15,cmu-smt,1,,uedin,1,,cued-contrast,1,,limsi,2,,ucb,2,
WMT08 Spanish-English News,CONSTITUENT,1691,8,29,upc,1,,rbmt5,1,,limsi,1,,uedin,1,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,1638,8,12,rbmt5,1,,rbmt4,1,,rbmt3,1,,cmu-smt,1,,limsi,1,
WMT08 Spanish-English News,CONSTITUENT,798,8,22,rbmt5,3,,limsi,2,,uedin,1,,ucb,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,1685,8,12,rbmt3,1,,uedin,1,,rbmt4,2,,ucb,1,,limsi,1,
WMT08 Spanish-English News,CONSTITUENT,1037,8,14,rbmt5,2,,cmu-smt,1,,upc,1,,cued,1,,rbmt6,1,
WMT08 Spanish-English News,CONSTITUENT,2772,8,12,rbmt3,1,,limsi,1,,rbmt5,2,,ucb,1,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,2603,8,41,cmu-smt,2,,limsi,2,,ucb,2,,rbmt6,2,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,2041,8,23,uedin,1,,rbmt5,2,,cued,1,,cmu-smt,1,,rbmt4,3,
WMT08 Spanish-English News,CONSTITUENT,3075,8,10,cued,1,,rbmt5,1,,uedin,1,,saar,1,,rbmt6,1,
WMT08 Spanish-English News,CONSTITUENT,546,8,21,limsi,3,,cued-contrast,3,,rbmt6,1,,saar,1,,ucb,3,
WMT08 Spanish-English News,CONSTITUENT,714,8,8,limsi,1,,ucb,1,,rbmt5,2,,saar,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1386,8,9,limsi,1,,cued,1,,rbmt4,1,,rbmt5,1,,rbmt6,2,
WMT08 Spanish-English News,CONSTITUENT,1722,8,16,saar,1,,rbmt5,1,,rbmt6,1,,cued,1,,cmu-smt,1,
WMT08 Spanish-English News,CONSTITUENT,852,8,20,rbmt6,2,,cued,3,,cmu-smt,2,,saar,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,2982,8,17,limsi,1,,ucb,3,,cued,2,,rbmt6,2,,uedin,2,
WMT08 Spanish-English News,CONSTITUENT,882,8,16,ucb,5,,rbmt3,1,,saar,1,,limsi,5,,rbmt5,1,
WMT08 Spanish-English News,CONSTITUENT,1651,8,13,rbmt5,1,,rbmt4,3,,saar,2,,cmu-smt,1,,uedin,2,
WMT08 Spanish-English News,CONSTITUENT,891,8,27,uedin,3,,cmu-smt,2,,upc,1,,saar,1,,ucb,1,
WMT08 Spanish-English News,CONSTITUENT,1638,8,11,rbmt5,1,,rbmt4,1,,rbmt3,1,,cmu-smt,1,,limsi,1,
WMT08 Spanish-English News,CONSTITUENT,3205,98,31,rbmt5,1,,cued-contrast,1,,limsi,2,,cued,1,,saar,2,
WMT08 Spanish-English News,CONSTITUENT,2814,98,73,rbmt5,1,,limsi,4,,upc,5,,cued-contrast,3,,cued,2,
WMT08 Spanish-English News,CONSTITUENT,2609,98,29,rbmt5,1,,rbmt6,1,,limsi,1,,saar,1,,cmu-smt,2,
WMT08 Spanish-English News,CONSTITUENT,882,98,113,rbmt5,1,,rbmt6,1,,upc,2,,saar,1,,cued-contrast,1,
WMT08 Spanish-English News,CONSTITUENT,695,98,39,rbmt3,1,,cmu-smt,5,,rbmt5,1,,limsi,5,,rbmt6,2,
WMT08 Spanish-English News,CONSTITUENT,378,98,61,limsi,2,,rbmt6,1,,uedin,5,,rbmt3,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,2058,98,176,cued-contrast,1,,cued,2,,saar,5,,limsi,3,,rbmt3,4,
WMT08 Spanish-English News,CONSTITUENT,2562,98,260,uedin,2,,cmu-smt,1,,cued-contrast,1,,rbmt6,3,,saar,2,
WMT08 Spanish-English News,CONSTITUENT,1974,98,43,cued,2,,cued-contrast,2,,cmu-smt,1,,uedin,2,,upc,2,
WMT08 Spanish-English News,CONSTITUENT,3156,98,80,rbmt6,3,,rbmt3,2,,saar,1,,limsi,1,,rbmt4,1,
WMT08 Spanish-English News,CONSTITUENT,2497,98,79,upc,1,,limsi,1,,cued,1,,rbmt4,1,,cmu-smt,1,
WMT08 Spanish-English News,CONSTITUENT,1806,98,24,cmu-smt,3,,uedin,1,,rbmt6,1,,cued,1,,rbmt3,2,
WMT08 Spanish-English News,CONSTITUENT,2,98,43,rbmt5,1,,cmu-smt,3,,saar,3,,limsi,2,,upc,2,
WMT08 Spanish-English News,CONSTITUENT,422,98,28,cued-contrast,4,,rbmt4,3,,cmu-smt,1,,saar,2,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,966,98,29,rbmt5,3,,cued,4,,rbmt6,2,,rbmt3,1,,cued-contrast,4,
WMT08 Spanish-English News,CONSTITUENT,2512,98,67,upc,2,,limsi,1,,cmu-smt,2,,rbmt5,3,,saar,2,
WMT08 Spanish-English News,CONSTITUENT,864,98,23,upc,5,,uedin,3,,cued,2,,saar,1,,cued-contrast,2,
WMT08 Spanish-English News,CONSTITUENT,2424,98,21,rbmt3,3,,rbmt6,2,,rbmt4,1,,upc,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,2394,98,59,cued,2,,upc,2,,cmu-smt,2,,rbmt5,1,,cued-contrast,2,
WMT08 Spanish-English News,CONSTITUENT,2609,98,203,rbmt5,1,,rbmt6,1,,limsi,1,,saar,1,,cmu-smt,2,
WMT08 Spanish-English News,CONSTITUENT,3256,97,53,cued-contrast,5,,rbmt5,5,,uedin,5,,cmu-smt,5,,rbmt4,5,
WMT08 Spanish-English News,CONSTITUENT,2898,97,31,rbmt3,2,,limsi,1,,rbmt4,5,,rbmt5,4,,cmu-smt,1,
WMT08 Spanish-English News,CONSTITUENT,2142,97,60,saar,4,,uedin,4,,rbmt4,4,,rbmt5,5,,cued-contrast,1,
WMT08 Spanish-English News,CONSTITUENT,3402,97,44,cued,1,,cued-contrast,2,,ucb,1,,upc,4,,rbmt5,5,
WMT08 Spanish-English News,CONSTITUENT,1159,97,61,uedin,2,,upc,1,,ucb,2,,rbmt4,4,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,3264,97,57,upc,5,,rbmt3,5,,limsi,3,,rbmt5,3,,rbmt4,4,
WMT08 Spanish-English News,CONSTITUENT,2310,97,47,limsi,3,,saar,4,,ucb,4,,cmu-smt,2,,rbmt4,5,
WMT08 Spanish-English News,CONSTITUENT,2982,97,45,rbmt4,2,,rbmt6,1,,uedin,2,,cued,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,42,97,51,rbmt5,5,,upc,4,,rbmt6,4,,rbmt3,4,,cued,4,
WMT08 Spanish-English News,CONSTITUENT,1608,97,45,cued,4,,rbmt6,4,,limsi,5,,ucb,5,,rbmt3,3,
WMT08 Spanish-English News,CONSTITUENT,2049,97,69,upc,2,,rbmt3,3,,rbmt5,1,,rbmt4,4,,cmu-smt,3,
WMT08 Spanish-English News,CONSTITUENT,2911,97,69,saar,5,,cmu-smt,4,,cued,4,,uedin,4,,rbmt6,4,
WMT08 Spanish-English News,CONSTITUENT,1470,97,40,upc,1,,ucb,1,,rbmt3,2,,rbmt4,2,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1386,97,40,cued,1,,upc,1,,rbmt6,4,,uedin,1,,saar,1,
WMT08 Spanish-English News,CONSTITUENT,682,97,53,limsi,1,,rbmt4,1,,saar,3,,rbmt5,4,,rbmt6,1,
WMT08 Spanish-English News,CONSTITUENT,2848,97,42,limsi,1,,rbmt5,1,,rbmt3,3,,uedin,3,,saar,1,
WMT08 Spanish-English News,CONSTITUENT,714,97,59,uedin,2,,rbmt5,4,,ucb,1,,rbmt3,4,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,2562,97,60,cued-contrast,2,,rbmt3,3,,rbmt6,3,,cued,3,,upc,2,
WMT08 Spanish-English News,CONSTITUENT,2283,97,38,uedin,3,,saar,3,,upc,5,,cued,5,,cmu-smt,5,
WMT08 Spanish-English News,CONSTITUENT,2142,97,23,saar,4,,uedin,3,,rbmt4,4,,rbmt5,5,,cued-contrast,1,
WMT08 Spanish-English News,CONSTITUENT,2646,97,46,rbmt4,3,,rbmt6,4,,uedin,2,,cued-contrast,2,,cued,3,
WMT08 Spanish-English News,CONSTITUENT,1634,97,57,cued-contrast,2,,ucb,2,,upc,1,,rbmt6,2,,rbmt3,2,
WMT08 Spanish-English News,CONSTITUENT,2379,97,71,limsi,5,,rbmt5,5,,cued-contrast,5,,cmu-smt,5,,rbmt3,5,
WMT08 Spanish-English News,CONSTITUENT,2058,97,77,cued-contrast,4,,rbmt4,5,,cued,4,,rbmt6,1,,rbmt3,4,
WMT08 Spanish-English News,CONSTITUENT,2478,97,19,cmu-smt,1,,saar,1,,rbmt4,5,,upc,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,3066,97,23,cued,2,,rbmt5,3,,rbmt3,2,,limsi,3,,saar,2,
WMT08 Spanish-English News,CONSTITUENT,1195,79,35,ucb,2,,upc,2,,uedin,2,,cmu-smt,2,,rbmt3,1,
WMT08 Spanish-English News,CONSTITUENT,3244,79,24,upc,4,,rbmt4,3,,cmu-smt,5,,rbmt6,1,,rbmt5,1,
WMT08 Spanish-English News,CONSTITUENT,210,79,16,cmu-smt,2,,saar,2,,uedin,1,,upc,2,,ucb,2,
WMT08 Spanish-English News,CONSTITUENT,2436,79,24,ucb,2,,rbmt3,3,,limsi,1,,rbmt6,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1071,79,201,rbmt6,5,,saar,4,,limsi,1,,cmu-smt,2,,ucb,1,
WMT08 Spanish-English News,CONSTITUENT,3364,79,16,cmu-smt,1,,uedin,2,,limsi,1,,ucb,1,,rbmt3,5,
WMT08 Spanish-English News,CONSTITUENT,2226,79,16,rbmt5,2,,rbmt4,2,,ucb,2,,rbmt6,2,,saar,1,
WMT08 Spanish-English News,CONSTITUENT,1552,79,13,rbmt6,2,,cmu-smt,1,,limsi,1,,rbmt4,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,2562,79,47,limsi,3,,rbmt6,4,,uedin,3,,cmu-smt,3,,upc,3,
WMT08 Spanish-English News,CONSTITUENT,1134,79,54,rbmt3,3,,cmu-smt,3,,rbmt6,3,,ucb,3,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1554,79,7,rbmt5,1,,cmu-smt,1,,saar,1,,upc,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1638,79,12,saar,1,,limsi,2,,rbmt5,1,,rbmt3,1,,upc,2,
WMT08 Spanish-English News,CONSTITUENT,714,79,15,rbmt3,5,,limsi,1,,upc,1,,ucb,1,,rbmt6,1,
WMT08 Spanish-English News,CONSTITUENT,1890,79,16,rbmt3,4,,saar,1,,rbmt6,2,,upc,3,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,1397,79,132,uedin,4,,limsi,4,,rbmt4,5,,cmu-smt,4,,ucb,4,
WMT08 Spanish-English News,CONSTITUENT,218,79,45,rbmt6,1,,rbmt3,1,,cmu-smt,2,,upc,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,459,79,15,saar,3,,ucb,3,,rbmt5,2,,limsi,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,751,79,9,cmu-smt,1,,saar,1,,ucb,1,,rbmt3,1,,rbmt4,1,
WMT08 Spanish-English News,CONSTITUENT,3318,79,19,rbmt6,2,,upc,1,,cmu-smt,1,,uedin,2,,rbmt5,2,
WMT08 Spanish-English News,CONSTITUENT,1195,79,13,ucb,2,,upc,2,,uedin,2,,cmu-smt,2,,rbmt3,1,
WMT08 Spanish-English News,CONSTITUENT,1698,108,164,ucb,3,,cued,1,,cmu-smt,4,,saar,2,,limsi,4,
WMT08 Spanish-English News,CONSTITUENT,2805,108,142,cmu-smt,5,,limsi,5,,uedin,5,,ucb,5,,saar,5,
WMT08 Spanish-English News,CONSTITUENT,210,108,167,rbmt4,3,,ucb,5,,uedin,1,,cmu-smt,5,,cued,3,
WMT08 Spanish-English News,CONSTITUENT,1218,108,60,cued,4,,uedin,3,,rbmt3,1,,saar,1,,limsi,4,
WMT08 Spanish-English News,CONSTITUENT,3318,108,46,upc,1,,rbmt6,2,,rbmt4,2,,cued-contrast,2,,cued,2,
WMT08 Spanish-English News,CONSTITUENT,1501,108,79,rbmt3,4,,cued-contrast,1,,uedin,1,,rbmt4,5,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,2226,108,74,rbmt4,3,,rbmt5,3,,ucb,3,,cmu-smt,1,,uedin,1,
WMT08 Spanish-English News,CONSTITUENT,2097,108,149,upc,1,,rbmt6,4,,ucb,1,,rbmt5,4,,cued,1,
WMT08 Spanish-English News,CONSTITUENT,42,108,103,rbmt4,4,,saar,1,,rbmt3,4,,uedin,1,,limsi,1,
WMT08 Spanish-English News,CONSTITUENT,126,108,199,cmu-smt,3,,upc,5,,rbmt5,1,,ucb,3,,uedin,2,
WMT08 Spanish-English News,CONSTITUENT,719,108,44,rbmt4,4,,ucb,1,,rbmt5,5,,limsi,1,,cmu-smt,1,
WMT08 Spanish-English News,CONSTITUENT,1061,108,145,saar,4,,uedin,3,,cued,2,,limsi,5,,rbmt3,1,
WMT08 Spanish-English News,CONSTITUENT,1806,108,25,rbmt6,1,,limsi,1,,cued,1,,uedin,1,,upc,1,
WMT08 Spanish-English News,CONSTITUENT,2058,108,107,rbmt6,2,,limsi,1,,upc,3,,rbmt3,4,,rbmt4,5,
WMT08 Spanish-English News,CONSTITUENT,2564,108,38,limsi,2,,rbmt3,5,,ucb,1,,upc,2,,cmu-smt,2,
WMT08 Spanish-English News,CONSTITUENT,1672,108,24,uedin,1,,cued,1,,rbmt4,1,,ucb,1,,rbmt3,1,
WMT08 Spanish-English News,CONSTITUENT,882,108,15,rbmt6,1,,uedin,1,,rbmt4,5,,cued-contrast,1,,ucb,1,
WMT08 Spanish-English News,CONSTITUENT,2929,108,68,saar,5,,uedin,1,,limsi,1,,rbmt6,3,,rbmt3,3,
WMT08 Spanish-English News,RANK,1237,5,91,rbmt5,2,,cued,3,,cmu-smt,3,,cued-contrast,4,,ucb,3,
WMT08 Spanish-English News,RANK,1812,5,45,saar,3,,rbmt6,1,,rbmt3,1,,rbmt5,1,,cued,2,
WMT08 Spanish-English News,RANK,1262,5,106,cued,1,,limsi,2,,cued-contrast,3,,rbmt4,2,,ucb,4,
WMT08 Spanish-English News,RANK,1584,5,58,cmu-smt,2,,limsi,4,,rbmt6,3,,saar,4,,rbmt4,3,
WMT08 Spanish-English News,RANK,362,5,50,limsi,2,,ucb,4,,saar,3,,upc,3,,rbmt5,5,
WMT08 Spanish-English News,RANK,1655,5,49,rbmt5,3,,upc,2,,rbmt4,2,,rbmt6,4,,limsi,5,
WMT08 Spanish-English News,RANK,1051,5,65,rbmt5,4,,cued-contrast,4,,cmu-smt,5,,ucb,5,,rbmt3,3,
WMT08 Spanish-English News,RANK,1662,5,54,rbmt5,4,,cued,5,,limsi,4,,uedin,3,,cued-contrast,5,
WMT08 Spanish-English News,RANK,1968,5,59,cmu-smt,4,,rbmt6,1,,upc,3,,saar,1,,cued-contrast,1,
WMT08 Spanish-English News,RANK,1262,5,119,cued,1,,limsi,2,,cued-contrast,4,,rbmt4,3,,ucb,3,
WMT08 Spanish-English News,RANK,462,9,225,rbmt4,3,,uedin,2,,rbmt6,1,,rbmt5,4,,upc,4,
WMT08 Spanish-English News,RANK,662,9,166,saar,5,,cmu-smt,2,,rbmt4,1,,rbmt3,1,,limsi,4,
WMT08 Spanish-English News,RANK,503,9,176,limsi,5,,cued-contrast,2,,rbmt5,2,,ucb,4,,saar,1,
WMT08 Spanish-English News,RANK,691,9,92,cmu-smt,5,,uedin,3,,limsi,3,,cued-contrast,2,,saar,1,
WMT08 Spanish-English News,RANK,1719,9,161,cmu-smt,3,,limsi,2,,upc,4,,cued,4,,rbmt3,1,
WMT08 Spanish-English News,RANK,1462,9,201,cued-contrast,3,,saar,2,,rbmt3,5,,cued,3,,rbmt4,1,
WMT08 Spanish-English News,RANK,269,9,107,uedin,5,,cued-contrast,4,,rbmt4,1,,cued,2,,rbmt6,3,
WMT08 Spanish-English News,RANK,926,9,66,limsi,3,,cued-contrast,3,,saar,3,,rbmt4,1,,upc,2,
WMT08 Spanish-English News,RANK,1962,9,139,ucb,1,,cmu-smt,1,,limsi,1,,cued,1,,saar,1,
WMT08 Spanish-English News,RANK,662,9,69,saar,5,,cmu-smt,3,,rbmt4,1,,rbmt3,1,,limsi,4,
WMT08 Spanish-English News,RANK,362,3,55,cued-contrast,1,,cued,2,,uedin,4,,upc,3,,ucb,5,
WMT08 Spanish-English News,RANK,862,3,41,upc,2,,rbmt5,4,,cmu-smt,3,,limsi,3,,rbmt3,1,
WMT08 Spanish-English News,RANK,812,3,91,rbmt3,4,,saar,5,,limsi,2,,rbmt5,1,,upc,3,
WMT08 Spanish-English News,RANK,662,3,108,uedin,2,,cued-contrast,4,,rbmt5,5,,cmu-smt,2,,upc,3,
WMT08 Spanish-English News,RANK,305,3,69,upc,5,,saar,3,,rbmt4,1,,limsi,5,,rbmt6,4,
WMT08 Spanish-English News,RANK,1591,3,234,ucb,3,,rbmt6,1,,limsi,3,,cmu-smt,3,,rbmt5,2,
WMT08 Spanish-English News,RANK,827,3,55,cued,4,,rbmt4,3,,rbmt3,2,,uedin,3,,ucb,3,
WMT08 Spanish-English News,RANK,704,3,63,upc,3,,rbmt5,5,,rbmt6,1,,rbmt3,2,,rbmt4,4,
WMT08 Spanish-English News,RANK,436,3,48,ucb,2,,rbmt4,1,,upc,4,,rbmt5,2,,limsi,3,
WMT08 Spanish-English News,RANK,812,3,66,rbmt3,3,,saar,1,,limsi,2,,rbmt5,1,,upc,1,
WMT08 Spanish-English News,RANK,1812,3,30,cued,1,,rbmt3,1,,saar,2,,limsi,1,,cmu-smt,1,
WMT08 Spanish-English News,RANK,1721,3,83,rbmt6,4,,cued,4,,upc,4,,limsi,4,,cmu-smt,4,
WMT08 Spanish-English News,RANK,262,3,40,rbmt3,5,
WMT08 Spanish-English News,RANK,48,3,22,cued,1,,limsi,1,,uedin,1,,cmu-smt,1,,rbmt4,1,
WMT08 Spanish-English News,RANK,2024,3,36,rbmt3,5,,saar,3,,limsi,1,,cued-contrast,2,,upc,3,
WMT08 Spanish-English News,RANK,1662,7,73,rbmt4,1,,ucb,1,,cued,2,,rbmt5,2,,rbmt3,2,
WMT08 Spanish-English News,RANK,1331,7,18,uedin,3,,cued-contrast,1,,saar,3,,ucb,3,,cmu-smt,2,
WMT08 Spanish-English News,RANK,1229,7,105,saar,4,,ucb,3,,cued-contrast,2,,uedin,2,,rbmt5,1,
WMT08 Spanish-English News,RANK,1252,7,8,rbmt6,1,,cued-contrast,1,,rbmt4,1,,uedin,1,,limsi,1,
WMT08 Spanish-English News,RANK,821,7,54,upc,1,,rbmt4,1,,uedin,2,,cmu-smt,1,,limsi,2,
WMT08 Spanish-English News,RANK,1712,7,35,uedin,4,,upc,3,,rbmt4,2,,limsi,4,,saar,1,
WMT08 Spanish-English News,RANK,1612,7,52,uedin,1,,cued-contrast,1,,rbmt6,1,,rbmt4,1,,cmu-smt,2,
WMT08 Spanish-English News,RANK,1153,7,33,limsi,2,,saar,1,,cued,2,,rbmt4,2,,upc,1,
WMT08 Spanish-English News,RANK,662,7,71,saar,5,,upc,2,,rbmt3,1,,rbmt6,4,,limsi,3,
WMT08 Spanish-English News,RANK,1662,7,28,rbmt4,1,,ucb,1,,cued,2,,rbmt5,1,,rbmt3,1,
WMT08 Spanish-English News,RANK,323,33,64,uedin,3,,ucb,3,,cued-contrast,3,,rbmt5,2,,saar,1,
WMT08 Spanish-English News,RANK,1523,33,135,saar,1,,ucb,2,,rbmt5,2,,limsi,3,,cued,4,
WMT08 Spanish-English News,RANK,1312,33,120,cued-contrast,1,,ucb,3,,rbmt6,4,,limsi,2,,uedin,3,
WMT08 Spanish-English News,RANK,1712,33,43,rbmt6,2,,rbmt4,1,,uedin,4,,upc,3,,cmu-smt,5,
WMT08 Spanish-English News,RANK,312,33,66,saar,2,,ucb,5,,uedin,3,,limsi,4,,rbmt4,1,
WMT08 Spanish-English News,RANK,1816,33,92,cued-contrast,2,,cued,1,,rbmt5,3,,upc,4,,cmu-smt,5,
WMT08 Spanish-English News,RANK,617,33,46,cmu-smt,2,,rbmt4,1,,uedin,2,,rbmt3,2,,rbmt6,2,
WMT08 Spanish-English News,RANK,1218,33,67,cued-contrast,1,,cmu-smt,5,,limsi,3,,rbmt3,4,,rbmt4,2,
WMT08 Spanish-English News,RANK,862,33,44,rbmt3,4,,rbmt5,3,,upc,1,,cued-contrast,2,,saar,2,
WMT08 Spanish-English News,RANK,1312,33,76,cued-contrast,1,,ucb,4,,rbmt6,3,,limsi,2,,uedin,5,
WMT08 Spanish-English News,RANK,1748,58,39,cued-contrast,2,,upc,1,,rbmt3,4,,limsi,3,,uedin,3,
WMT08 Spanish-English News,RANK,812,58,42,cmu-smt,4,,ucb,3,,rbmt3,2,,uedin,3,,saar,2,
WMT08 Spanish-English News,RANK,512,58,82,rbmt3,3,,rbmt5,2,,saar,4,,ucb,2,,cmu-smt,2,
WMT08 Spanish-English News,RANK,912,58,20,rbmt3,4,,cmu-smt,5,,ucb,5,,saar,3,,rbmt4,3,
WMT08 Spanish-English News,RANK,462,58,46,cmu-smt,2,,rbmt3,3,,cued-contrast,4,,cued,4,,rbmt6,1,
WMT08 Spanish-English News,RANK,1250,58,41,cued,2,,rbmt5,1,,ucb,3,,saar,2,,cmu-smt,2,
WMT08 Spanish-English News,RANK,1151,58,29,ucb,1,,saar,2,,limsi,4,,rbmt6,3,,cmu-smt,2,
WMT08 Spanish-English News,RANK,641,58,22,ucb,4,,rbmt3,3,,rbmt4,3,,upc,2,,limsi,1,
WMT08 Spanish-English News,RANK,839,58,28,ucb,4,,cmu-smt,2,,rbmt6,3,,saar,3,,limsi,2,
WMT08 Spanish-English News,RANK,812,58,26,cmu-smt,2,,ucb,1,,rbmt3,2,,uedin,3,,saar,1,
WMT08 Spanish-English News,RANK,890,40,45,cued,3,,uedin,2,,rbmt3,5,,upc,1,,cued-contrast,3,
WMT08 Spanish-English News,RANK,354,40,33,rbmt4,1,,rbmt5,5,,saar,3,,uedin,3,,upc,2,
WMT08 Spanish-English News,RANK,1619,40,73,uedin,2,,cued-contrast,5,,upc,4,,rbmt3,1,,rbmt6,3,
WMT08 Spanish-English News,RANK,1662,40,36,rbmt5,5,,limsi,5,,uedin,5,,cued,5,,rbmt3,5,
WMT08 Spanish-English News,RANK,312,40,100,cued-contrast,1,,rbmt5,2,,saar,5,,cmu-smt,3,,upc,4,
WMT08 Spanish-English News,RANK,1389,40,63,uedin,5,,cued-contrast,2,,upc,4,,ucb,2,,rbmt3,1,
WMT08 Spanish-English News,RANK,1412,40,48,rbmt6,5,,limsi,2,,cued,2,,ucb,1,,uedin,4,
WMT08 Spanish-English News,RANK,858,40,73,limsi,1,,upc,3,,ucb,2,,rbmt6,5,,uedin,4,
WMT08 Spanish-English News,RANK,1312,40,95,cmu-smt,5,,rbmt6,4,,upc,3,,saar,1,,rbmt4,2,
WMT08 Spanish-English News,RANK,890,40,18,cued,3,,uedin,2,,rbmt3,5,,upc,1,,cued-contrast,3,
WMT08 Spanish-English News,RANK,1112,60,45,rbmt6,3,,cmu-smt,4,,ucb,3,,rbmt3,1,,rbmt5,2,
WMT08 Spanish-English News,RANK,837,60,146,rbmt6,3,,limsi,2,,cued,3,,ucb,4,,rbmt4,1,
WMT08 Spanish-English News,RANK,220,60,92,cmu-smt,3,,rbmt3,1,,cued,4,,ucb,2,,saar,2,
WMT08 Spanish-English News,RANK,1762,60,59,rbmt4,1,,ucb,3,,cued,2,,saar,1,,cmu-smt,3,
WMT08 Spanish-English News,RANK,155,60,121,rbmt4,1,,cmu-smt,1,,limsi,3,,ucb,2,,rbmt6,2,
WMT08 Spanish-English News,RANK,1191,60,107,limsi,3,,rbmt6,4,,uedin,2,,cued-contrast,1,,ucb,4,
WMT08 Spanish-English News,RANK,1812,60,25,rbmt4,2,,rbmt5,2,,saar,1,,cmu-smt,1,,rbmt3,2,
WMT08 Spanish-English News,RANK,1012,60,38,limsi,2,,ucb,1,,rbmt4,3,,uedin,2,,rbmt3,3,
WMT08 Spanish-English News,RANK,354,60,38,uedin,2,,rbmt4,1,,rbmt6,2,,cmu-smt,2,,ucb,2,
WMT08 Spanish-English News,RANK,837,60,55,rbmt6,3,,limsi,2,,cued,4,,ucb,5,,rbmt4,1,
WMT08 Spanish-English News,RANK,1636,60,96,cmu-smt,3,,uedin,3,,rbmt5,4,,rbmt3,3,,rbmt4,2,
WMT08 Spanish-English News,RANK,107,60,61,rbmt6,3,,saar,2,,uedin,4,,rbmt4,2,,ucb,3,
WMT08 Spanish-English News,RANK,1762,60,71,cmu-smt,4,,saar,2,,cued,3,,cued-contrast,3,,rbmt3,3,
WMT08 Spanish-English News,RANK,1925,60,45,rbmt3,1,,cued-contrast,4,,rbmt5,3,,saar,5,,rbmt6,2,
WMT08 Spanish-English News,RANK,1471,60,63,saar,2,,rbmt4,2,,cued,3,,uedin,4,,rbmt6,1,
WMT08 Spanish-English News,RANK,1512,60,127,saar,4,,rbmt4,3,,cued-contrast,4,,rbmt3,3,,rbmt6,4,
WMT08 Spanish-English News,RANK,462,60,91,ucb,3,,limsi,4,,rbmt3,4,,cued-contrast,4,,cued,4,
WMT08 Spanish-English News,RANK,1403,60,124,rbmt4,3,,rbmt3,3,,cmu-smt,2,,ucb,1,,saar,1,
WMT08 Spanish-English News,RANK,1362,60,90,rbmt4,2,,limsi,4,,cued,4,,cued-contrast,3,,rbmt6,1,
WMT08 Spanish-English News,RANK,1636,60,111,cmu-smt,3,,uedin,4,,rbmt5,3,,rbmt3,3,,rbmt4,2,
WMT08 Spanish-English News,RANK,286,18,98,uedin,3,,limsi,3,,cued,1,,ucb,3,,rbmt4,2,
WMT08 Spanish-English News,RANK,862,18,28,limsi,2,,cmu-smt,2,,rbmt4,2,,uedin,1,,cued-contrast,2,
WMT08 Spanish-English News,RANK,1585,18,165,rbmt6,4,,rbmt3,3,,uedin,2,,limsi,1,,ucb,5,
WMT08 Spanish-English News,RANK,1301,18,54,cmu-smt,2,,rbmt5,5,,rbmt3,1,,limsi,2,,saar,2,
WMT08 Spanish-English News,RANK,1562,18,53,rbmt3,4,,cued,2,,saar,2,,limsi,1,,upc,5,
WMT08 Spanish-English News,RANK,1112,18,66,uedin,4,,rbmt6,2,,rbmt5,5,,limsi,3,,upc,1,
WMT08 Spanish-English News,RANK,830,18,45,ucb,5,,rbmt5,2,,cued,4,,rbmt3,1,,uedin,3,
WMT08 Spanish-English News,RANK,330,18,236,limsi,2,,rbmt6,1,,ucb,4,,upc,4,,rbmt5,3,
